Motor,Nosecone shape,Launch lug quantity,Surface finish [um],Fin cross section,Fin holder quantity,Fin thickness [mm],Outer diameter [mm],Boat tail,Dry mass [g],Wet mass [g],Apogee [m],Maximum speed [m/s],Mach number [-],Notes
I600,Haack 0,2,60,Rounded,1,3,41.9,Yes,900,1517,1774,382,1.123529412,
I600,Haack 0,2,60,Rounded,1,4,41.9,Yes,500,1117,1558,464,1.364705882,
I600,Haack 0,2,60,Rounded,1,4,41.9,Yes,600,1217,1615,441,1.297058824,
I600,Haack 0,2,60,Rounded,1,4,41.9,Yes,700,1317,1662,419,1.232352941,
I600,Haack 0,2,60,Rounded,1,4,41.9,Yes,800,1417,1701,399,1.173529412,
I600,Haack 0,2,60,Rounded,1,4,41.9,Yes,900,1517,1731,379,1.114705882,
I600,Haack 0,2,60,Rounded,0,3,41.9,Yes,500,1117,1787,497,1.461764706,
I600,Haack 0,2,60,Rounded,0,3,41.9,Yes,600,1217,1846,468,1.376470588,
I600,Haack 0,2,60,Rounded,0,3,41.9,Yes,700,1317,1890,441,1.297058824,
I600,Haack 0,2,60,Rounded,0,3,41.9,Yes,800,1417,1924,417,1.226470588,
I600,Haack 0,2,60,Rounded,0,3,41.9,Yes,900,1517,1947,394,1.158823529,
I600,Haack 0,2,60,Rounded,0,4,41.9,Yes,500,1117,1722,488,1.435294118,
I600,Haack 0,2,60,Rounded,0,4,41.9,Yes,600,1217,1779,461,1.355882353,
I600,Haack 0,2,60,Rounded,0,4,41.9,Yes,700,1317,1825,435,1.279411765,
I600,Haack 0,2,60,Rounded,0,4,41.9,Yes,800,1417,1861,412,1.211764706,
I600,Haack 0,2,60,Rounded,0,4,41.9,Yes,900,1517,1866,390,1.147058824,
J500,Haack 0,2,60,Rounded,1,3,41.9,Yes,500,1154,1714,470,1.382352941,
J500,Haack 0,2,60,Rounded,1,3,41.9,Yes,600,1254,1775,452,1.329411765,
J500,Haack 0,2,60,Rounded,1,3,41.9,Yes,700,1354,1826,433,1.273529412,
J500,Haack 0,2,60,Rounded,1,3,41.9,Yes,800,1454,1868,415,1.220588235,
J500,Haack 0,2,60,Rounded,1,3,41.9,Yes,900,1554,1902,398,1.170588235,
J500,Haack 0,2,60,Rounded,1,4,41.9,Yes,500,1154,1664,461,1.355882353,
J500,Haack 0,2,60,Rounded,1,4,41.9,Yes,600,1254,1724,444,1.305882353,
J500,Haack 0,2,60,Rounded,1,4,41.9,Yes,700,1354,1775,427,1.255882353,
J500,Haack 0,2,60,Rounded,1,4,41.9,Yes,800,1454,1817,410,1.205882353,
J500,Haack 0,2,60,Rounded,1,4,41.9,Yes,900,1554,1852,393,1.155882353,
J500,Haack 0,2,60,Rounded,0,3,41.9,Yes,500,1154,1917,503,1.479411765,
J500,Haack 0,2,60,Rounded,0,3,41.9,Yes,600,1254,1978,479,1.408823529,
J500,Haack 0,2,60,Rounded,0,3,41.9,Yes,700,1354,2028,456,1.341176471,
J500,Haack 0,2,60,Rounded,0,3,41.9,Yes,800,1454,2068,435,1.279411765,
J500,Haack 0,2,60,Rounded,0,3,41.9,Yes,900,1554,2098,414,1.217647059,
J500,Haack 0,2,60,Rounded,0,4,41.9,Yes,500,1154,1842,492,1.447058824,
J500,Haack 0,2,60,Rounded,0,4,41.9,Yes,600,1254,1905,470,1.382352941,
J500,Haack 0,2,60,Rounded,0,4,41.9,Yes,700,1354,1955,449,1.320588235,
J500,Haack 0,2,60,Rounded,0,4,41.9,Yes,800,1454,1996,428,1.258823529,
J500,Haack 0,2,60,Rounded,0,4,41.9,Yes,900,1554,2027,409,1.202941176,
J500,Haack 0,2,60,Rounded,2,5,41.9,Yes,500,1154,1500,430,1.264705882,
J500,Haack 0,2,60,Rounded,2,5,41.9,Yes,600,1254,1549,416,1.223529412,
J500,Haack 0,2,60,Rounded,2,5,41.9,Yes,700,1354,1607,402,1.182352941,
J500,Haack 0,2,60,Rounded,2,5,41.9,Yes,800,1454,1649,389,1.144117647,
J500,Haack 0,2,60,Rounded,2,5,41.9,Yes,900,1554,1685,375,1.102941176,
J500,Conical,2,60,Rounded,2,5,41.9,Yes,500,1154,1442,422,1.241176471,
J500,Conical,2,60,Rounded,2,5,41.9,Yes,600,1254,1494,408,1.2,
J500,Conical,2,60,Rounded,2,5,41.9,Yes,700,1354,1542,395,1.161764706,
J500,Conical,2,60,Rounded,2,5,41.9,Yes,800,1454,1582,381,1.120588235,
J500,Conical,2,60,Rounded,2,5,41.9,Yes,900,1554,1617,369,1.085294118,
J500,Ogive,2,60,Rounded,2,5,41.9,Yes,500,1154,1508,434,1.276470588,
J500,Ogive,2,60,Rounded,2,5,41.9,Yes,600,1254,1563,419,1.232352941,
J500,Ogive,2,60,Rounded,2,5,41.9,Yes,700,1354,1610,404,1.188235294,
J500,Ogive,2,60,Rounded,2,5,41.9,Yes,800,1454,1651,390,1.147058824,
J500,Ogive,2,60,Rounded,2,5,41.9,Yes,900,1554,1686,376,1.105882353,
J500,Ellipsoid,2,60,Rounded,2,5,41.9,Yes,500,1154,1456,418,1.229411765,
J500,Ellipsoid,2,60,Rounded,2,5,41.9,Yes,600,1254,1523,413,1.214705882,
J500,Ellipsoid,2,60,Rounded,2,5,41.9,Yes,700,1354,1566,398,1.170588235,
J500,Ellipsoid,2,60,Rounded,2,5,41.9,Yes,800,1454,1611,386,1.135294118,
J500,Ellipsoid,2,60,Rounded,2,5,41.9,Yes,900,1554,1645,373,1.097058824,
J500,Haack 0,1,60,Rounded,2,5,41.9,Yes,500,1154,1528,433,1.273529412,
J500,Haack 0,1,60,Rounded,2,5,41.9,Yes,600,1254,1586,419,1.232352941,
J500,Haack 0,1,60,Rounded,2,5,41.9,Yes,700,1354,1634,404,1.188235294,
J500,Haack 0,1,60,Rounded,2,5,41.9,Yes,800,1454,1679,391,1.15,
J500,Haack 0,1,60,Rounded,2,5,41.9,Yes,900,1554,1715,377,1.108823529,
J500,Haack 0,0,60,Rounded,2,5,41.9,Yes,500,1154,1557,436,1.282352941,
J500,Haack 0,0,60,Rounded,2,5,41.9,Yes,600,1254,1616,421,1.238235294,
J500,Haack 0,0,60,Rounded,2,5,41.9,Yes,700,1354,1667,407,1.197058824,
J500,Haack 0,0,60,Rounded,2,5,41.9,Yes,800,1454,1709,393,1.155882353,
J500,Haack 0,0,60,Rounded,2,5,41.9,Yes,900,1554,1746,379,1.114705882,
J500,Haack 0,2,500,Rounded,2,5,41.9,Yes,500,1154,1341,416,1.223529412,
J500,Haack 0,2,500,Rounded,2,5,41.9,Yes,600,1254,1392,403,1.185294118,
J500,Haack 0,2,500,Rounded,2,5,41.9,Yes,700,1354,1436,390,1.147058824,
J500,Haack 0,2,500,Rounded,2,5,41.9,Yes,800,1454,1475,378,1.111764706,
J500,Haack 0,2,500,Rounded,2,5,41.9,Yes,900,1554,1507,365,1.073529412,
J500,Haack 0,2,150,Rounded,2,5,41.9,Yes,500,1154,1434,424,1.247058824,
J500,Haack 0,2,150,Rounded,2,5,41.9,Yes,600,1254,1487,409,1.202941176,
J500,Haack 0,2,150,Rounded,2,5,41.9,Yes,700,1354,1536,397,1.167647059,
J500,Haack 0,2,150,Rounded,2,5,41.9,Yes,800,1454,1576,384,1.129411765,
J500,Haack 0,2,150,Rounded,2,5,41.9,Yes,900,1554,1612,371,1.091176471,
J500,Haack 0,2,20,Rounded,2,5,41.9,Yes,500,1154,1571,435,1.279411765,
J500,Haack 0,2,20,Rounded,2,5,41.9,Yes,600,1254,1632,421,1.238235294,
J500,Haack 0,2,20,Rounded,2,5,41.9,Yes,700,1354,1683,407,1.197058824,
J500,Haack 0,2,20,Rounded,2,5,41.9,Yes,800,1454,1727,393,1.155882353,
J500,Haack 0,2,20,Rounded,2,5,41.9,Yes,900,1554,1764,379,1.114705882,
J500,Haack 0,2,2,Rounded,2,5,41.9,Yes,500,1154,1639,441,1.297058824,
J500,Haack 0,2,2,Rounded,2,5,41.9,Yes,600,1254,1702,426,1.252941176,
J500,Haack 0,2,2,Rounded,2,5,41.9,Yes,700,1354,1756,412,1.211764706,
J500,Haack 0,2,2,Rounded,2,5,41.9,Yes,800,1454,1803,398,1.170588235,
J500,Haack 0,2,2,Rounded,2,5,41.9,Yes,900,1554,1841,383,1.126470588,
J500,Haack 0,2,60,Square,2,5,41.9,Yes,500,1154,1296,417,1.226470588,
J500,Haack 0,2,60,Square,2,5,41.9,Yes,600,1254,1344,403,1.185294118,
J500,Haack 0,2,60,Square,2,5,41.9,Yes,700,1354,1387,391,1.15,
J500,Haack 0,2,60,Square,2,5,41.9,Yes,800,1454,1424,378,1.111764706,
J500,Haack 0,2,60,Square,2,5,41.9,Yes,900,1554,1455,366,1.076470588,
J500,Haack 0,2,60,Airfoil,2,5,41.9,Yes,500,1154,1544,435,1.279411765,
J500,Haack 0,2,60,Airfoil,2,5,41.9,Yes,600,1254,1602,420,1.235294118,
J500,Haack 0,2,60,Airfoil,2,5,41.9,Yes,700,1354,1654,407,1.197058824,
J500,Haack 0,2,60,Airfoil,2,5,41.9,Yes,800,1454,1698,393,1.155882353,
J500,Haack 0,2,60,Airfoil,2,5,41.9,Yes,900,1554,1734,379,1.114705882,
J500,Haack 0,2,60,Rounded,2,2,41.9,Yes,500,1154,1612,451,1.326470588,
J500,Haack 0,2,60,Rounded,2,2,41.9,Yes,600,1254,1671,435,1.279411765,
J500,Haack 0,2,60,Rounded,2,2,41.9,Yes,700,1354,1722,419,1.232352941,
J500,Haack 0,2,60,Rounded,2,2,41.9,Yes,800,1454,1765,403,1.185294118,
J500,Haack 0,2,60,Rounded,2,2,41.9,Yes,900,1554,1800,388,1.141176471,
J500,Haack 0,2,60,Rounded,2,3,41.9,Yes,500,1154,1572,444,1.305882353,
J500,Haack 0,2,60,Rounded,2,3,41.9,Yes,600,1254,1630,429,1.261764706,
J500,Haack 0,2,60,Rounded,2,3,41.9,Yes,700,1354,1680,413,1.214705882,
J500,Haack 0,2,60,Rounded,2,3,41.9,Yes,800,1454,1723,398,1.170588235,
J500,Haack 0,2,60,Rounded,2,3,41.9,Yes,900,1554,1758,383,1.126470588,
J500,Haack 0,2,60,Rounded,2,4,41.9,Yes,500,1154,1534,436,1.282352941,
J500,Haack 0,2,60,Rounded,2,4,41.9,Yes,600,1254,1592,422,1.241176471,
J500,Haack 0,2,60,Rounded,2,4,41.9,Yes,700,1354,1642,408,1.2,
J500,Haack 0,2,60,Rounded,2,4,41.9,Yes,800,1454,1685,394,1.158823529,
J500,Haack 0,2,60,Rounded,2,4,41.9,Yes,900,1554,1721,379,1.114705882,
J500,Haack 0,2,60,Rounded,2,6,41.9,Yes,500,1154,1468,423,1.244117647,
J500,Haack 0,2,60,Rounded,2,6,41.9,Yes,600,1254,1525,410,1.205882353,
J500,Haack 0,2,60,Rounded,2,6,41.9,Yes,700,1354,1573,397,1.167647059,
J500,Haack 0,2,60,Rounded,2,6,41.9,Yes,800,1454,1616,384,1.129411765,
J500,Haack 0,2,60,Rounded,2,6,41.9,Yes,900,1554,1652,371,1.091176471,
J500,Haack 0,2,60,Rounded,1,5,41.9,Yes,500,1154,1619,453,1.332352941,
J500,Haack 0,2,60,Rounded,1,5,41.9,Yes,600,1254,1678,437,1.285294118,
J500,Haack 0,2,60,Rounded,1,5,41.9,Yes,700,1354,1729,420,1.235294118,
J500,Haack 0,2,60,Rounded,1,5,41.9,Yes,800,1454,1771,404,1.188235294,
J500,Haack 0,2,60,Rounded,1,5,41.9,Yes,900,1554,1806,389,1.144117647,
J500,Haack 0,2,60,Rounded,0,5,41.9,Yes,500,1154,1779,482,1.417647059,
J500,Haack 0,2,60,Rounded,0,5,41.9,Yes,600,1254,1841,461,1.355882353,
J500,Haack 0,2,60,Rounded,0,5,41.9,Yes,700,1354,1892,441,1.297058824,
J500,Haack 0,2,60,Rounded,0,5,41.9,Yes,800,1454,1914,414,1.217647059,
J500,Haack 0,2,60,Rounded,0,5,41.9,Yes,900,1554,1965,404,1.188235294,
J500,Haack 0,2,60,Rounded,2,5,38,No,500,1154,1678,449,1.320588235,
J500,Haack 0,2,60,Rounded,2,5,38,No,600,1254,1740,433,1.273529412,
J500,Haack 0,2,60,Rounded,2,5,38,No,700,1354,1793,418,1.229411765,
