timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,Load (N)
96683665,1,1,0,0,1,7454.24609375
97085253,1,1,0,0,1,8206.837890625
97486847,1,1,0,0,1,7977.47705078125
97888436,1,1,0,0,1,7525.92138671875
98290023,1,1,0,0,1,7981.060546875
98691611,1,1,0,0,1,7981.060546875
99093191,1,1,0,0,1,7629.85107421875
99494783,1,1,0,0,1,8056.31982421875
99896377,1,1,0,0,1,7880.71484375
100297976,1,1,0,0,1,8009.73095703125
100699573,1,1,0,0,1,8084.990234375
101101173,1,1,0,0,1,7984.64453125
101502727,1,1,0,0,1,7615.51611328125
101904324,1,1,0,0,1,7830.5419921875
102305928,1,1,0,0,1,7862.79638671875
102707526,1,1,0,0,1,8633.3076171875
103109141,1,1,0,0,1,7887.8828125
103510734,1,1,0,0,1,7680.02392578125
103912326,1,1,0,0,1,7185.46337890625
104313927,1,1,0,0,1,7364.65185546875
104715526,1,1,0,0,1,7443.49462890625
105117120,1,1,0,0,1,7608.34814453125
105518678,1,1,0,0,1,7443.49462890625
105920274,1,1,0,0,1,8038.40087890625
106321866,1,1,0,0,1,8031.2333984375
106723476,1,1,0,0,1,7988.22802734375
107125076,1,1,0,0,1,8038.40087890625
107526665,1,1,0,0,1,7945.22314453125
107928271,1,1,0,0,1,8160.2490234375
108329862,1,1,0,0,1,8249.84375
108731454,1,1,0,0,1,8013.314453125
109133051,1,1,0,0,1,7970.3095703125
109534653,1,1,0,0,1,7518.75390625
109936269,1,1,0,0,1,7658.52099609375
110337864,1,1,0,0,1,8102.90869140625
110739454,1,1,0,0,1,8235.5087890625
111141047,1,1,0,0,1,7912.96875
111542607,1,1,0,0,1,7730.19677734375
111944216,1,1,0,0,1,7809.03955078125
112345797,1,1,0,0,1,7289.392578125
112747355,1,1,0,0,1,7328.81396484375
113148953,1,1,0,0,1,7508.0029296875
113550573,1,1,0,0,1,7859.21240234375
113952175,1,1,0,0,1,8181.751953125
114353796,1,1,0,0,1,8034.8173828125
114755395,1,1,0,0,1,7959.55810546875
115156995,1,1,0,0,1,7984.64453125
115558595,1,1,0,0,1,7640.60205078125
115960161,1,1,0,0,1,7966.7255859375
116361757,1,1,0,0,1,7637.0185546875
116763371,1,1,0,0,1,7948.806640625
117164977,1,1,0,0,1,7998.9794921875
117566530,1,1,0,0,1,8135.1630859375
117968132,1,1,0,0,1,8127.9951171875
118369744,1,1,0,0,1,7335.9814453125
118771338,1,1,0,0,1,7257.138671875
119172936,1,1,0,0,1,7601.1806640625
119574524,1,1,0,0,1,7733.7802734375
119976110,1,1,0,0,1,7766.0341796875
120377737,1,1,0,0,1,8027.64990234375
120779337,1,1,0,0,1,8149.498046875
121180920,1,1,0,0,1,8084.990234375
121582518,1,1,0,0,1,7963.1416015625
121984116,1,1,0,0,1,7676.43994140625
122385685,1,1,0,0,1,8181.751953125
122787282,1,1,0,0,1,8016.8984375
123188875,1,1,0,0,1,7787.537109375
123590504,1,1,0,0,1,7927.30419921875
123992105,1,1,0,0,1,7952.390625
124393698,1,1,0,0,1,7973.89306640625
124795261,1,1,0,0,1,7296.56005859375
125196871,1,1,0,0,1,7723.029296875
125598453,1,1,0,0,1,7214.13330078125
126000015,1,1,0,0,1,7533.08935546875
126401584,1,1,0,0,1,7361.06787109375
126803179,1,1,0,0,1,8095.7412109375
127204819,1,1,0,0,1,8253.427734375
127606418,1,1,0,0,1,7869.9638671875
128008017,1,1,0,0,1,7973.89306640625
128409633,1,1,0,0,1,8041.98486328125
128811228,1,1,0,0,1,8013.314453125
129212828,1,1,0,0,1,8070.65478515625
129614420,1,1,0,0,1,7902.2177734375
130016015,1,1,0,0,1,8024.06591796875
130417632,1,1,0,0,1,7511.58642578125
130819236,1,1,0,0,1,7744.53173828125
131220814,1,1,0,0,1,7529.50537109375
131622413,1,1,0,0,1,7912.96875
132023976,1,1,0,0,1,7425.576171875
132425577,1,1,0,0,1,7744.53173828125
132827135,1,1,0,0,1,8153.08154296875
133228728,1,1,0,0,1,7565.34326171875
133630325,1,1,0,0,1,8131.5791015625
134031941,1,1,0,0,1,8235.5087890625
134433539,1,1,0,0,1,8178.16796875
134835130,1,1,0,0,1,8228.3408203125
135236730,1,1,0,0,1,8264.1787109375
135638326,1,1,0,0,1,8056.31982421875
136039923,1,1,0,0,1,7647.77001953125
136441520,1,1,0,0,1,8432.6162109375
136843123,1,1,0,0,1,7647.77001953125
137244719,1,1,0,0,1,7479.33251953125
137646345,1,1,0,0,1,7658.52099609375
138047937,1,1,0,0,1,8120.82763671875
138449532,1,1,0,0,1,7447.07861328125
138851131,1,1,0,0,1,8059.90380859375
139252690,1,1,0,0,1,7576.09423828125
139654288,1,1,0,0,1,7554.591796875
140055888,1,1,0,0,1,7522.337890625
140457481,1,1,0,0,1,7672.8564453125
140859100,1,1,0,0,1,8210.421875
141260660,1,1,0,0,1,8124.41162109375
141662252,1,1,0,0,1,7493.66748046875
142063855,1,1,0,0,1,8063.4873046875
