timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,pressure (PSI)
46083758,0,0,0,0,1,-20.498640060424805
46485345,0,0,0,0,1,-23.674375534057617
46886897,0,0,0,0,1,-24.231449127197266
47288486,0,0,0,0,1,-25.944467544555664
47690029,0,0,0,0,1,-24.169546127319336
48091610,0,0,0,0,1,-24.664785385131836
48493218,0,0,0,0,1,-25.26313018798828
48894802,0,0,0,0,1,-30.406330108642578
49296374,0,0,0,0,1,-21.694368362426758
49697965,0,0,0,0,1,-26.088973999023438
50099552,0,0,0,0,1,-24.107648849487305
50501137,0,0,0,0,1,-27.86485481262207
50902721,0,0,0,0,1,-28.030099868774414
51304317,0,0,0,0,1,-29.620960235595703
51705922,0,0,0,0,1,-24.066381454467773
52107501,0,0,0,0,1,-27.720272064208984
52509081,0,0,0,0,1,-25.799964904785156
52910633,0,0,0,0,1,-26.25413703918457
53312214,0,0,0,0,1,-28.897750854492188
53713804,0,0,0,0,1,-26.976806640625
54115398,0,0,0,0,1,-25.07753562927246
54516979,0,0,0,0,1,-28.877090454101562
54918581,0,0,0,0,1,-23.447444915771484
55320189,0,0,0,0,1,-23.241159439086914
55721780,0,0,0,0,1,-28.897750854492188
56123366,0,0,0,0,1,-25.799964904785156
56524950,0,0,0,0,1,-27.142005920410156
56926530,0,0,0,0,1,-29.5589656829834
57328115,0,0,0,0,1,-30.240808486938477
57729693,0,0,0,0,1,-29.43497657775879
58131293,0,0,0,0,1,-27.369171142578125
58532895,0,0,0,0,1,-26.25413703918457
58934479,0,0,0,0,1,-25.882537841796875
59336057,0,0,0,0,1,-23.36492919921875
59737647,0,0,0,0,1,-29.476306915283203
60139241,0,0,0,0,1,-25.965110778808594
60540828,0,0,0,0,1,-28.27797508239746
60942425,0,0,0,0,1,-24.272714614868164
61344009,0,0,0,0,1,-23.860057830810547
61745595,0,0,0,0,1,-24.994979858398438
62147189,0,0,0,0,1,-25.387130737304688
62548777,0,0,0,0,1,-24.582237243652344
62950374,0,0,0,0,1,-26.481245040893555
63351953,0,0,0,0,1,-27.90616798400879
63753535,0,0,0,0,1,-26.41930389404297
64155138,0,0,0,0,1,-23.488704681396484
64556728,0,0,0,0,1,-23.447444915771484
64958321,0,0,0,0,1,-27.03859519958496
65359908,0,0,0,0,1,-30.902441024780273
65761451,0,0,0,0,1,-23.921789169311523
66163034,0,0,0,0,1,-27.431127548217773
66564622,0,0,0,0,1,-28.40192222595215
67367798,0,0,0,0,1,-46.932823181152344
67769349,0,0,0,0,1,-48.50233459472656
68170933,0,0,0,0,1,-48.14912796020508
68572520,0,0,0,0,1,-45.48139190673828
68974131,0,0,0,0,1,-40.38829040527344
69375721,0,0,0,0,1,-47.128963470458984
69777299,0,0,0,0,1,-42.03298568725586
