timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,probeTemp (degC),ambientTemp (degC)
572159214,0,0,0,0,0,15.25,17.375
572201163,0,0,0,0,0,15.25,17.3125
572236053,0,0,0,0,0,15.0,17.3125
572271239,0,0,0,0,0,15.0,17.375
572348046,0,0,0,0,0,15.0,17.3125
572565265,0,0,0,0,0,15.0,17.375
572600096,0,0,0,0,0,15.25,17.375
572642264,0,0,0,0,0,15.25,17.5625
572677054,0,0,0,0,1,-390.0,17.5625
572747909,0,0,0,0,1,-392.5,17.5625
572824048,0,0,0,0,1,-396.75,17.5625
572859033,0,0,0,0,1,-396.75,17.4375
572894240,0,0,0,0,0,15.0,17.4375
572936142,0,0,0,0,0,15.0,17.375
573153021,0,0,0,0,0,15.0,17.3125
573230073,0,0,0,0,0,15.0,17.375
573377287,0,0,0,0,0,15.0,17.3125
573629042,0,0,0,0,0,-205.5,17.3125
573671221,0,0,0,0,0,-205.5,17.625
573706150,0,0,0,0,1,-389.75,17.625
573748039,0,0,0,0,1,-389.75,17.5625
573776106,0,0,0,0,1,-391.5,17.5625
573853171,0,0,0,0,1,-332.75,17.5625
573895164,0,0,0,0,1,-332.75,17.3125
573923045,0,0,0,0,0,15.0,17.3125
574042041,0,0,0,0,0,15.0,17.375
574070292,0,0,0,0,0,15.25,17.375
574147837,0,0,0,0,0,15.0,17.375
574336049,0,0,0,0,0,15.0,17.3125
574483107,0,0,0,0,0,15.0,17.375
574553281,0,0,0,0,0,15.0,17.3125
574630134,0,0,0,0,0,15.0,17.5
574665010,0,0,0,0,1,-386.75,17.5
574700070,0,0,0,0,1,-386.75,17.5625
574735123,0,0,0,0,1,-378.5,17.5625
574777253,0,0,0,0,1,-378.5,17.625
574812187,0,0,0,0,1,-376.5,17.625
574847866,0,0,0,0,1,-376.5,17.5625
574882194,0,0,0,0,0,15.25,17.5625
574924108,0,0,0,0,0,15.25,17.3125
574959049,0,0,0,0,0,15.0,17.3125
574994083,0,0,0,0,0,15.0,17.375
575029044,0,0,0,0,0,15.25,17.375
575071046,0,0,0,0,0,15.25,17.3125
575106073,0,0,0,0,0,15.0,17.3125
575141044,0,0,0,0,0,15.0,17.375
575176019,0,0,0,0,0,15.25,17.375
575253031,0,0,0,0,0,15.0,17.375
575323053,0,0,0,0,0,15.25,17.375
575365272,0,0,0,0,0,15.25,17.3125
575400187,0,0,0,0,0,15.0,17.3125
575435119,0,0,0,0,0,15.0,17.375
575470123,0,0,0,0,0,15.25,17.375
575547876,0,0,0,0,0,15.0,17.375
575617012,0,0,0,0,0,-50.0,17.375
575659041,0,0,0,0,0,-50.0,17.5625
575694136,0,0,0,0,1,-372.25,17.5625
575736011,0,0,0,0,1,-372.25,17.625
575764165,0,0,0,0,1,-375.0,17.625
575806040,0,0,0,0,1,-375.0,17.5625
575841012,0,0,0,0,1,-388.25,17.5625
575883033,0,0,0,0,1,-388.25,17.375
575911012,0,0,0,0,0,15.0,17.375
575953012,0,0,0,0,0,15.0,17.3125
576030010,0,0,0,0,0,15.0,17.375
576212190,0,0,0,0,0,15.25,17.375
576282030,0,0,0,0,0,15.0,17.375
576359243,0,0,0,0,0,15.25,17.375
576506112,0,0,0,0,0,15.0,17.375
576541060,0,0,0,0,0,15.0,17.3125
576618096,0,0,0,0,0,15.0,17.375
576653033,0,0,0,0,1,-377.25,17.375
576688085,0,0,0,0,1,-377.25,17.5625
576723042,0,0,0,0,1,-376.75,17.5625
576800261,0,0,0,0,1,-378.75,17.5625
576870127,0,0,0,0,1,-378.5,17.5625
576947851,0,0,0,0,1,-388.0,17.5625
577017140,0,0,0,0,1,-288.0,17.5625
577094036,0,0,0,0,0,-168.5,17.5625
577129093,0,0,0,0,0,-168.5,17.375
577164213,0,0,0,0,0,15.0,17.375
577388110,0,0,0,0,0,15.25,17.375
577458034,0,0,0,0,0,15.0,17.375
577605034,0,0,0,0,0,15.25,17.375
577647835,0,0,0,0,0,15.25,17.625
577682108,0,0,0,0,1,-384.75,17.625
577724111,0,0,0,0,1,-384.75,17.5625
577752020,0,0,0,0,1,-380.0,17.5625
577829072,0,0,0,0,1,-375.5,17.5625
577871037,0,0,0,0,1,-375.5,17.4375
577899037,0,0,0,0,0,15.25,17.4375
577941012,0,0,0,0,0,15.25,17.375
577976021,0,0,0,0,0,15.0,17.375
578123065,0,0,0,0,0,15.25,17.375
578270129,0,0,0,0,0,15.0,17.375
578312041,0,0,0,0,0,15.0,17.3125
578382237,0,0,0,0,0,15.0,17.375
578459083,0,0,0,0,0,15.0,17.3125
578529214,0,0,0,0,0,15.0,17.375
578641032,0,0,0,0,1,-282.25,17.375
578676040,0,0,0,0,1,-282.25,17.625
578711025,0,0,0,0,1,-389.0,17.625
578788264,0,0,0,0,1,-384.75,17.625
578823050,0,0,0,0,1,-384.75,17.5625
578858126,0,0,0,0,1,-271.5,17.5625
578900126,0,0,0,0,1,-271.5,17.375
578935281,0,0,0,0,0,15.0,17.375
579047837,0,0,0,0,0,15.0,17.3125
579117032,0,0,0,0,0,15.0,17.375
579194102,0,0,0,0,0,15.0,17.3125
579264066,0,0,0,0,0,15.0,17.375
579411076,0,0,0,0,0,15.0,17.3125
579488046,0,0,0,0,0,15.0,17.375
579635122,0,0,0,0,0,15.0,17.5625
579670260,0,0,0,0,1,-401.75,17.5625
579740086,0,0,0,0,1,-392.0,17.5625
579782128,0,0,0,0,1,-392.0,17.625
579817013,0,0,0,0,1,-393.25,17.625
579859010,0,0,0,0,1,-393.25,17.5625
579887864,0,0,0,0,0,15.25,17.5625
579929248,0,0,0,0,0,15.25,17.375
579964040,0,0,0,0,0,15.0,17.375
580223012,0,0,0,0,0,15.0,17.3125
580300126,0,0,0,0,0,15.0,17.375
580328012,0,0,0,0,0,15.25,17.375
580405119,0,0,0,0,0,15.0,17.375
580447832,0,0,0,0,0,15.0,17.4375
580517074,0,0,0,0,0,15.0,17.375
580629011,0,0,0,0,0,-130.25,17.375
580664020,0,0,0,0,0,-130.25,17.625
580699045,0,0,0,0,1,-399.75,17.625
580741049,0,0,0,0,1,-399.75,17.5625
580776163,0,0,0,0,1,-396.5,17.5625
580811211,0,0,0,0,1,-396.5,17.625
580846076,0,0,0,0,1,-402.75,17.625
580888244,0,0,0,0,1,-402.75,17.375
580923138,0,0,0,0,0,15.0,17.375
581581156,0,0,0,0,0,15.25,17.375
581623052,0,0,0,0,0,15.25,17.4375
581658028,0,0,0,0,1,-397.0,17.4375
581693224,0,0,0,0,1,-397.0,17.625
581728159,0,0,0,0,1,-398.75,17.625
581770028,0,0,0,0,1,-398.75,17.5625
581805011,0,0,0,0,1,-395.75,17.5625
