measSkippedBeat, skippedBeat, drNoTrigger, checksumError, timestep (us), temperature (degC)
0, 0, 0, 0, 48098856, 3.034375e+01
0, 0, 0, 0, 48124718, 3.037500e+01
0, 0, 0, 0, 48150598, 3.037500e+01
0, 0, 0, 0, 48176585, 3.037500e+01
0, 0, 0, 0, 48202711, 3.037500e+01
0, 0, 0, 0, 48228574, 3.034375e+01
0, 0, 0, 0, 48254506, 3.034375e+01
0, 0, 0, 0, 48280526, 3.034375e+01
0, 0, 0, 0, 48306415, 3.034375e+01
0, 0, 0, 0, 48332356, 3.037500e+01
0, 0, 0, 0, 48358400, 3.034375e+01
0, 0, 0, 0, 48384280, 3.034375e+01
0, 0, 0, 0, 48410251, 3.034375e+01
0, 0, 0, 0, 48436210, 3.037500e+01
0, 0, 0, 0, 48462207, 3.037500e+01
0, 0, 0, 0, 48488192, 3.037500e+01
0, 0, 0, 0, 48514117, 3.037500e+01
0, 0, 0, 0, 48540136, 3.037500e+01
0, 0, 0, 0, 48566079, 3.037500e+01
0, 0, 0, 0, 48592063, 3.034375e+01
0, 0, 0, 0, 48617980, 3.037500e+01
0, 0, 0, 0, 48644023, 3.034375e+01
0, 0, 0, 0, 48669909, 3.037500e+01
0, 0, 0, 0, 48695894, 3.037500e+01
0, 0, 0, 0, 48721830, 3.034375e+01
0, 0, 0, 0, 48747820, 3.037500e+01
0, 0, 0, 0, 48773826, 3.037500e+01
0, 0, 0, 0, 48799846, 3.037500e+01
0, 0, 0, 0, 48825759, 3.034375e+01
0, 0, 0, 0, 48851710, 3.037500e+01
0, 0, 0, 0, 48877689, 3.037500e+01
0, 0, 0, 0, 48903591, 3.037500e+01
0, 0, 0, 0, 48929638, 3.037500e+01
0, 0, 0, 0, 48955518, 3.034375e+01
0, 0, 0, 0, 48981533, 3.034375e+01
0, 0, 0, 0, 49007449, 3.037500e+01
0, 0, 0, 0, 49033440, 3.037500e+01
0, 0, 0, 0, 49059442, 3.037500e+01
0, 0, 0, 0, 49085346, 3.037500e+01
0, 0, 0, 0, 49111368, 3.034375e+01
0, 0, 0, 0, 49137268, 3.037500e+01
0, 0, 1, 0, 49163290, 3.037500e+01
0, 0, 0, 0, 49188906, 3.037500e+01
0, 0, 0, 0, 49214761, 3.037500e+01
0, 0, 0, 0, 49240689, 3.037500e+01
0, 0, 0, 0, 49266606, 3.037500e+01
0, 0, 0, 0, 49292618, 3.037500e+01
0, 0, 0, 0, 49318537, 3.037500e+01
0, 0, 0, 0, 49344521, 3.037500e+01
0, 0, 0, 0, 49370458, 3.034375e+01
0, 0, 0, 0, 49396502, 3.037500e+01
0, 0, 0, 0, 49422388, 3.037500e+01
0, 0, 0, 0, 49448400, 3.037500e+01
0, 0, 0, 0, 49474482, 3.034375e+01
0, 0, 0, 0, 49500346, 3.037500e+01
0, 0, 0, 0, 49526316, 3.037500e+01
0, 0, 0, 0, 49552254, 3.037500e+01
0, 0, 0, 0, 49578227, 3.037500e+01
0, 0, 0, 0, 49604146, 3.037500e+01
0, 0, 0, 0, 49630172, 3.037500e+01
